Parcel(s),SFPUC Code,Building Address,Facility,Notes,Department Name,Department Code,Building Category,Facility Type,Year Built,Year Renovated,Building Floor Area (sq.ft.),2019 ENERGY STAR score,2019 Energy Use Intensity (kBtu/sq.ft.),2019 Carbon Intensity (lbs CO2e/sq.ft.)
4380/010,1393,1399 Marin St,1399 Marin - Maintenance Facility,Building with no gas services.,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1972,N/A,25100,,54.24787737,0
3904/001,1292,1401 Bryant St,1401 Bryant - Overhead Lines,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Other Shops,1897,1979,46000,,9.316736443,0.0263147564
3512/005,1887,1650 Mission St,1650 Mission St,,Real Estate Division,RED,Offices,General Office,1983,N/A,219631,91,40.30620541,1.293485471
3512/006,1150,1660 Mission St,1660 Mission St,,Real Estate Division,RED,Offices,General Office,1990,N/A,82964,49,82.81869209,1.468303607
3512/009,779,1680 Mission St,1680 Mission St,,Department of Public Works,DPW,Offices,General Office,1923,N/A,40053,54,84.04765593,4.938382457
0834/004,813,25 Van Ness Ave,25 Van Ness Ave,,Real Estate Division,RED,Offices,Office,1913,1985,157748,80,36.96910777,0
0835/004,808,30 Van Ness Ave,30 Van Ness Ave,,Real Estate Division,RED,Offices,General Office,1965,N/A,202064,65,52.99775889,1.166850198
6959/017,202,35 Onondaga Ave,35/45 Onondaga Building,"This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019. Not qualified for ENERGY STAR rating, due to lack of full-time occupants.",Department of Public Health,DPH,Offices,General Office,1928,1932,8747,,0.6029413971,0
3777/050,1929,651 Bryant St,651 Bryant - Power Utility Services,,San Francisco Public Utilities Commission,SFPUC,"Service, Repair, and Storage",Warehouse,1954,N/A,19000,94,13.3779966,0.0497463909
4167/010,1290,700 Pennsylvania Ave,700 Pennsylvania - Muni Maintenance,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Other Shops,1947,2000,99383,,28.30113281,1.220991412
2094/012,1105,3151 Ortega St,A P Giannini Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1954,N/A,136392,98,19.74315207,1.530263359
2194/001,1059,2162 24th Ave,Abraham Lincoln High,,San Francisco Unified School District,SFUSD,Education,High School,1940,N/A,330200,85,29.04364393,2.305242535
0781/010,2,762 Fulton St,African American Art & Culture Complex,,Arts Commission,SFAC,Museums and Art,Art/Cultural Center,1935,N/A,34031,,19.79054019,1.253861695
OUTSIDE-SF-018,1927,837 Malcolm Rd,Airport Reprographics,,San Francisco International Airport,SFO,Offices,General Office,1967,N/A,6000,,39.5936866,1.311985837
1411/005,1101,250 23rd Ave,Alamo Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1924,N/A,50420,17,46.4521633,3.032499499
6474/042,777,670 Brunswick St,Alice Chalmers Clubhouse,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1951,N/A,2505,,11.39798691,0
1858/006,1114,1541 12th Ave,Alice Fong Yu Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1914,N/A,59650,85,32.41632126,2.719206173
2773/001D,1041,625 Douglass St,Alvarado Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1926,N/A,51700,71,35.44767646,3.172745344
3925/002-A,743,1200 15th St,Animal Shelter,,Animal Care and Control,ACC,Health & Human Services,Veterinary,1931,1989,29500,,188.8351881,16.17374711
1508/012B,239,550 37th Ave,Anza Branch Library,,Public Library,SFPL,Libraries,Library,1932,2011,8222,,51.09797767,2.372027296
3266A/031,1009,105 Aptos Ave,Aptos Middle,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1931,N/A,168000,70,35.320426,3.453663244
1658/007,412,750 16th Ave,Argonne CDC,,San Francisco Unified School District,SFUSD,Education,Childcare / Teen Center / Family Center,2001,N/A,2500,,86.94725408,6.720409774
1526/007,275,455 18th Ave,Argonne Clubhouse and Playground,,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,2006,N/A,1000,,58.1969776,3.094823939
1627/012,1351,680 18th Ave,Argonne Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1997,N/A,52000,46,35.07306154,2.463972634
0353/001,1333,200 Larkin St,Asian Art Museum,,Asian Art Museum,AAM,Museums and Art,Museum,1917,2003,185000,,114.8770491,5.70002939
6958A/001,1017,1126 Cayuga Ave,Balboa High,,San Francisco Unified School District,SFUSD,Education,High School,1928,N/A,261700,82,37.58001982,3.579625685
3179/011-A,703,73 Havelock St,Balboa Swimming Pool,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,Recreation & Park Department,RPD,Recreation Facilities,Swimming Pool,1962,N/A,19000,,69.06205855,0
OUTSIDE-SF-001,2035,2650 Bayshore Blvd,Bayshore Yard and Shop,,Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,N/A,N/A,255420,,12.42551148,0.2792651539
5203/035,1998,1550 Evans Ave,Bayside Office Space and Warehouse,This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019.,San Francisco Public Utilities Commission,SFPUC,Offices,General Office,1978,N/A,50593,100,10.40698778,0
5311/036,5,4705 03rd St,Bayview Opera House,,Arts Commission,SFAC,Museums and Art,Art/Cultural Center,1888,N/A,14000,,16.2244146,1.013866883
5423A/010,1213,201 Williams St,Bayview Police Station,,Police Department,SFPD,Public Safety,Police Station,1996,N/A,16000,,105.3633355,6.291081789
5339/006A,238,5099 03rd St,Bayview/Anna E. Waden Branch Library,,Public Library,SFPL,Libraries,Library,2012,N/A,19054,,24.66618707,1.894173135
5707/027-B,1825,500 Cortland Ave,Bernal Heights Branch Library,,Public Library,SFPL,Libraries,Library,1940,2010,8777,,59.40687137,3.245525455
5707/027-A,279,500 Moultrie St,Bernal Heights Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1932,N/A,5008,,38.80225982,2.63910273
3752/012,1060,824 Harrison St,Bessie Carmichael / Filipino Education Ctr (6-8),,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1975,N/A,13654,54,23.96010898,1.205811467
3754/062,1061,375 07th Street,Bessie Carmichael Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,2000,N/A,56358,36,30.24484229,1.151708558
0213/001,288,1101 Washington St,Betty Ann Ong Chinese Rec Center,,Recreation & Park Department,RPD,Recreation Facilities,Recreation Center,1951,2012,24234,,35.83677118,1.972881555
0812/001,102,99 Grove St,Bill Graham Civic Auditorium,"Bill Graham Civic Auditorium and DPH Central Office receive steam from the Civic Center steam loop that is unmetered at individual facility level. For purposes of this report, the metered use at the steam loop is apportioned based on each building’s square footage, but may be over reported here due to leaks and other losses in the steam loop itself.",Real Estate Division,RED,Performance Halls,Performance Hall,1915,1989,302250,,81.7284173,10.08795574
0332/006,731,246 Eddy St,Boeddeker Park and Clubhouse,Building with no gas services.,Recreation & Park Department,RPD,Recreation Facilities,Clubhouse,1989,N/A,3740,,66.52569807,0
4944/036,1029,1055 Gilman Ave,Bret Harte Elementary,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1954,N/A,79000,75,25.77043416,1.862585541
0788/001-A,103,250 Polk St,Brooks Hall,Building with no gas services.,Real Estate Division,RED,"Service, Repair, and Storage",Warehouse,1956,N/A,90000,7,15.82473468,0
4277/002,1055,2641 25th St,Bryant Elementary and CDC,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1969,N/A,32500,55,28.17907297,1.542388597
3643/034,1038,3351 23rd St,Buena Vista / Horace Mann,,San Francisco Unified School District,SFUSD,Education,Elementary / Middle School,1924,N/A,68000,25,88.63341968,8.955167932
5203/066,1873,1570 Burke Ave,Burke Avenue Facility - Central Warehouse,"This location was under construction or vacant for an extended period of time during a portion of calendar years 2018 and/or 2019. Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Warehouse,1969,N/A,103231,10,16.6787574,0
0190/005,506,1201 Mason St,Cable Car Barn and Power House,"Irregular natural gas use. Some or all natural gas use data is unknown, missing, or gas meter readings may be inaccurate.",Municipal Transportation Agency,SFMTA,"Service, Repair, and Storage",Corporation Yard / Vehicle Repair,1906,1984,83741,,143.157694,0
